REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020-01,Canada,2016A000011124,Persons,249,units,0,v1,1,37909001,,,,0
2020-04,Canada,2016A000011124,Persons,249,units,0,v1,1,37986182,,,,0
2020-07,Canada,2016A000011124,Persons,249,units,0,v1,1,38007166,,,,0
2020-10,Canada,2016A000011124,Persons,249,units,0,v1,1,38007048,,,,0
2021-01,Canada,2016A000011124,Persons,249,units,0,v1,1,38043450,,,,0
2021-04,Canada,2016A000011124,Persons,249,units,0,v1,1,38124373,,,,0
2021-07,Canada,2016A000011124,Persons,249,units,0,v1,1,38226498,,,,0
2021-10,Canada,2016A000011124,Persons,249,units,0,v1,1,38426473,,,,0
2022-01,Canada,2016A000011124,Persons,249,units,0,v1,1,38516138,,,,0
2022-04,Canada,2016A000011124,Persons,249,units,0,v1,1,38644920,,,,0
2022-07,Canada,2016A000011124,Persons,249,units,0,v1,1,38929902,,,,0
2022-10,Canada,2016A000011124,Persons,249,units,0,v1,1,39292355,,,,0
2020-01,Newfoundland and Labrador,2016A000210,Persons,249,units,0,v2,2,523345,,,,0
2020-04,Newfoundland and Labrador,2016A000210,Persons,249,units,0,v2,2,522505,,,,0
2020-07,Newfoundland and Labrador,2016A000210,Persons,249,units,0,v2,2,521359,,,,0
2020-10,Newfoundland and Labrador,2016A000210,Persons,249,units,0,v2,2,520203,,,,0
2021-01,Newfoundland and Labrador,2016A000210,Persons,249,units,0,v2,2,519736,,,,0
2021-04,Newfoundland and Labrador,2016A000210,Persons,249,units,0,v2,2,519694,,,,0
2021-07,Newfoundland and Labrador,2016A000210,Persons,249,units,0,v2,2,520452,,,,0
2021-10,Newfoundland and Labrador,2016A000210,Persons,249,units,0,v2,2,521854,,,,0
2022-01,Newfoundland and Labrador,2016A000210,Persons,249,units,0,v2,2,522501,,,,0
2022-04,Newfoundland and Labrador,2016A000210,Persons,249,units,0,v2,2,523043,,,,0
2022-07,Newfoundland and Labrador,2016A000210,Persons,249,units,0,v2,2,525972,,,,0
2022-10,Newfoundland and Labrador,2016A000210,Persons,249,units,0,v2,2,528818,,,,0
2020-01,Prince Edward Island,2016A000211,Persons,249,units,0,v8,3,159369,,,,0
2020-04,Prince Edward Island,2016A000211,Persons,249,units,0,v8,3,160390,,,,0
2020-07,Prince Edward Island,2016A000211,Persons,249,units,0,v8,3,161305,,,,0
2020-10,Prince Edward Island,2016A000211,Persons,249,units,0,v8,3,161455,,,,0
2021-01,Prince Edward Island,2016A000211,Persons,249,units,0,v8,3,161662,,,,0
2021-04,Prince Edward Island,2016A000211,Persons,249,units,0,v8,3,162866,,,,0
2021-07,Prince Edward Island,2016A000211,Persons,249,units,0,v8,3,164758,,,,0
2021-10,Prince Edward Island,2016A000211,Persons,249,units,0,v8,3,166435,,,,0
2022-01,Prince Edward Island,2016A000211,Persons,249,units,0,v8,3,166858,,,,0
2022-04,Prince Edward Island,2016A000211,Persons,249,units,0,v8,3,168358,,,,0
2022-07,Prince Edward Island,2016A000211,Persons,249,units,0,v8,3,170688,,,,0
2022-10,Prince Edward Island,2016A000211,Persons,249,units,0,v8,3,172707,,,,0
2020-01,Nova Scotia,2016A000212,Persons,249,units,0,v9,4,977498,,,,0
2020-04,Nova Scotia,2016A000212,Persons,249,units,0,v9,4,979075,,,,0
2020-07,Nova Scotia,2016A000212,Persons,249,units,0,v9,4,981691,,,,0
2020-10,Nova Scotia,2016A000212,Persons,249,units,0,v9,4,981266,,,,0
2021-01,Nova Scotia,2016A000212,Persons,249,units,0,v9,4,981793,,,,0
2021-04,Nova Scotia,2016A000212,Persons,249,units,0,v9,4,985238,,,,0
2021-07,Nova Scotia,2016A000212,Persons,249,units,0,v9,4,991117,,,,0
2021-10,Nova Scotia,2016A000212,Persons,249,units,0,v9,4,998387,,,,0
