age_gp,edu,marital,n
20-24,<HS,Married,139727
20-24,<HS,Formerly Married,20873
20-24,<HS,Never Married,560836
20-24,HS,Married,325676
20-24,HS,Formerly Married,62217
20-24,HS,Never Married,2275998
20-24,Some College,Married,486858
20-24,Some College,Formerly Married,66632
20-24,Some College,Never Married,4855013
20-24,Bachelor,Married,238171
20-24,Bachelor,Formerly Married,1305
20-24,Bachelor,Never Married,1663221
20-24,Post-Grad,Married,11600
20-24,Post-Grad,Formerly Married,2208
20-24,Post-Grad,Never Married,117831
25-29,<HS,Married,317849
25-29,<HS,Formerly Married,84354
25-29,<HS,Never Married,532457
25-29,HS,Married,761295
25-29,HS,Formerly Married,183701
25-29,HS,Never Married,1429405
25-29,Some College,Married,1344028
25-29,Some College,Formerly Married,359414
25-29,Some College,Never Married,2047280
25-29,Bachelor,Married,1086229
25-29,Bachelor,Formerly Married,80220
25-29,Bachelor,Never Married,1925536
25-29,Post-Grad,Married,420366
25-29,Post-Grad,Formerly Married,15273
25-29,Post-Grad,Never Married,720814
30-34,<HS,Married,512889
30-34,<HS,Formerly Married,112573
30-34,<HS,Never Married,349098
30-34,HS,Married,942026
30-34,HS,Formerly Married,242867
30-34,HS,Never Married,886853
30-34,Some College,Married,1677009
30-34,Some College,Formerly Married,497897
30-34,Some College,Never Married,1312116
30-34,Bachelor,Married,1769030
30-34,Bachelor,Formerly Married,128910
30-34,Bachelor,Never Married,769885
30-34,Post-Grad,Married,1110313
30-34,Post-Grad,Formerly Married,90797
30-34,Post-Grad,Never Married,599953
35-39,<HS,Married,621648
35-39,<HS,Formerly Married,216194
35-39,<HS,Never Married,412539
35-39,HS,Married,1050845
35-39,HS,Formerly Married,405354
35-39,HS,Never Married,526557
35-39,Some College,Married,1687024
35-39,Some College,Formerly Married,721396
35-39,Some College,Never Married,776207
35-39,Bachelor,Married,1576438
35-39,Bachelor,Formerly Married,287222
35-39,Bachelor,Never Married,471986
35-39,Post-Grad,Married,1202775
35-39,Post-Grad,Formerly Married,147795
35-39,Post-Grad,Never Married,265446
40-44,<HS,Married,602501
40-44,<HS,Formerly Married,245035
40-44,<HS,Never Married,290393
40-44,HS,Married,1183066
40-44,HS,Formerly Married,558267
40-44,HS,Never Married,415389
40-44,Some College,Married,1698183
40-44,Some College,Formerly Married,652636
40-44,Some College,Never Married,496672
40-44,Bachelor,Married,1584587
40-44,Bachelor,Formerly Married,356242
40-44,Bachelor,Never Married,283649
40-44,Post-Grad,Married,1156012
40-44,Post-Grad,Formerly Married,165999
40-44,Post-Grad,Never Married,222195
